"Nombre del portal";"Enlace al portal";"Organismo de la iniciativa";"Geoposition";"Nivel de administración";"Grado de reutilización";"Tipo de buscador";"Categoría";"Estrategia apertura de datos";"Descarga del catálogo";"Web Service";"API Ckan";"Restful API";"Punto SPARQL";"Licencia";"Canal de solicitud";"Catálogo de aplicaciones";"Recursos formativos";"Colabora con datos.gob.es"
"Datos.gob.es";"http://datos.gob.es";"Ministerio de Hacienda y Administraciones Públicas, Ministerio de Industria, Energía y Turismo";"40.448103100000,-3.690455100000";"Administración del Estado";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"http://datos.gob.es/sites/default/files/catalogo.rdf";"";"";"";"http://datos.gob.es/sparql";"Licencia tipo Real Decreto 1495/2011";"http://datos.gob.es/sugerencias";"http://datos.gob.es/aplicaciones";"http://datos.gob.es/saber-mas";"No"
"Portal Datos Abiertos del MAEC";"http://www.exteriores.gob.es/Portal/gl/ServiciosAlCiudadano/SedeElectr%C3%B3nicaycontrataci%C3%B3h/Paginas/RISP.aspx";"Ministerio de Asuntos Exteriores y Cooperación";"40.414674400000,-3.706008990000";"Administración del Estado";"(***) Formatos no propietarios";"";"Cultura y Ocio, Sector Público, Sociedad y Bienestar, Turismo";"http://datos.gob.es/sites/default/files/files/2013MAEC_RISP.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"unidadweb@maec.es";"";"";"No"
"Portal Datos Abiertos del MINECO";"http://www.mineco.gob.es/portal/site/mineco/menuitem.b6c80362d9873d0a91b0240e026041a0/?vgnextoid=09cc2042e4fac310VgnVCM1000001d04140aRCRD";"Ministerio de Economía y Competitividad";"40.443294900000,-3.657595600000";"Administración del Estado";"(**) Datos estructurados";"";"Ciencia y tecnología, Comercio, Economía";"http://www.mineco.gob.es/stfls/mineco/ministerio/ficheros/Plan_Reutilizacion_Informacion.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Portal Datos Abiertos del MINHAP";"http://www.minhap.gob.es/es-ES/Datos%20Abiertos/Paginas/Datosabiertos.aspx";"Ministerio de Hacienda y Administraciones Públicas";"40.461229900000,-3.690257900000";"Administración del Estado";"(***) Formatos no propietarios";"";"Hacienda, Legislación y Justicia, Sector Público, Sociedad y Bienestar";"http://www.minhap.gob.es/Documentacion/Publico/RISP/PLAN%20RISP%20MHAP%202012_2014.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sedeminhap.gob.es/es-ES/Procedimientos/Paginas/Default.aspx?IdProcedimiento=1041&p=0&TMs=40";"";"";"No"
"Portal Datos Abiertos del MINETUR";"https://sede.minetur.gob.es/ES-ES/DATOSABIERTOS/Paginas/index.aspx";"Ministerio de Industria, Energía y Turismo";"40.461219600000,-3.690259100000";"Administración del Estado";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Economía, Energía, Industria, Urbanismo e Infraestructuras";"https://sede.minetur.gob.es/es-ES/Documents/Plan_RISP.pdf";"https://sede.minetur.gob.es/es-ES/datosabiertos/Documents/dcat.rdf";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.minetur.gob.es/es-ES/datosabiertos/Paginas/participa-colabora.aspx";"https://sede.minetur.gob.es/es-ES/datosabiertos/aplicaciones-desarrolladas/Paginas/aplicaciones-desarrolladas.aspx";"";"Sí"
"Portal Datos Abiertos del Ministerio de Justicia";"https://sede.mjusticia.gob.es/cs/Satellite/Sede/es/servicios/reutilizacion-informacion/datos-abiertos-ministerio";"Ministerio de Justicia";"40.424135700000,-3.707519800000";"Administración del Estado";"(****) Datos RDF";"";"Cultura y Ocio, Legislación y Justicia";"http://datos.gob.es/sites/default/files/files/Plan%20RSIP%20MJusticia.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.mjusticia.gob.es/cs/Satellite/Sede/es/tramites/solicitudes-escritos";"";"";"No"
"Portal Datos Abiertos del Ministerio de la Presidencia";"https://sedempr.gob.es/es/info/es/datos_abiertos.html";"Ministerio de la Presidencia";"40.441629600000,-3.730080600000";"Administración del Estado";"(***) Formatos no propietarios";"";"Legislación y Justicia, Sector Público";"https://sedempr.gob.es/sites/default/files/fileupload/PLAN_RISP_2014_FIRMADO.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sedempr.gob.es/es/node/131";"";"";"No"
"Portal Datos Abiertos del Ministerio del Interior";"https://sede.mir.gob.es/datos_abiertos/";"Ministerio del Interior";"40.427059700000,-3.689566700000";"Administración del Estado";"(***) Formatos no propietarios";"";"Sector Público, Seguridad";"http://datos.gob.es/sites/default/files/files/INTERIOR-PlanRISP_2014_01.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.mir.gob.es/nfrontal/solicitud_informacion.html";"";"";"No"
"Portal Datos Abiertos CIEMAT";"https://sede.ciemat.gob.es/SEDEportal/portal.do?IDM=26&NM=1";"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas";"40.453812400000,-3.728842200000";"Administración del Estado";"(*) Datos publicados";"";"Ciencia y tecnología, Educación, Empleo, Hacienda";"https://sede.ciemat.gob.es/SEDEportal/recursos/doc/Datos_Abiertos/223899910_17122013102912.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.ciemat.gob.es/SEDEportal/portal.do?TR=C&IDR=44";"";"";"No"
"Portal Datos Abiertos de la AEVAL";"http://www.aeval.es/datosabiertos/index.html";"Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios";"40.446846400000,-3.675000500000";"Administración del Estado";"(***) Formatos no propietarios";"";"Sector Público";"http://www.aeval.es/export/sites/aeval/datosabiertos/plan/AEVAL-PlanRISP_20131125.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Portal Datos Abiertos de la AEAT";"http://www.agenciatributaria.es/AEAT.internet/datosabiertos_reutilizacion_informacion.shtml";"Agencia Estatal de la Administración Tributaria";"40.455621800000,-3.698493300000";"Administración del Estado";"(**) Datos estructurados";"Sencillo";"Hacienda";"http://www.agenciatributaria.es/static_files/AEAT/Contenidos_Comunes/La_Agencia_Tributaria/Informacion_institucional/Datos_abiertos/Plan_reutilizacion_es_es.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"http://www.agenciatributaria.es/AEAT.internet/datosabiertos/Consultenos.shtml";"";"";"No"
"Portal Datos Enlazados BNE";"http://www.bne.es/es/Inicio/Perfiles/Bibliotecarios/DatosEnlazados/index.html";"Biblioteca Nacional de España";"40.423504900000,-3.689432390000";"Administración del Estado";"(*****) Datos enlazados";"";"Cultura y Ocio";"";"";"";"";"";"http://datos.bne.es/sparql";"Creative Commons Zero (CC0)";"";"";"";"No"
"Portal Datos Abiertos Red.es";"http://www.red.es/redes/datosabiertos";"Entidad Pública Empresarial RED.ES";"40.447822800000,-3.694420400000";"Administración del Estado";"(***) Formatos no propietarios";"";"Ciencia y tecnología, Educación, Legislación y Justicia, Salud, Sector Público, Urbanismo e Infraestructuras";"http://datos.gob.es/datos/sites/default/files/files/PLANRISP-Red%20es_datos_gob_es.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.red.gob.es/eRegistro/inicio!seleccion.action?expedienteSeleccionado=SG-002";"";"";"No"
"Portal Datos Abiertos CIS";"http://www.cis.es/cis/opencms/ES/Opendata/DatosAbiertos.html";"Centro de Investigaciones Sociológicas";"40.417975600000,-3.690399890000";"Administración del Estado";"(*) Datos publicados";"";"Ciencia y tecnología, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Legislación y Justicia, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Vivienda";"";"";"";"";"";"";"Licencia Abierta";"";"";"";"Sí"
"Portal Datos Abiertos CNIG";"http://centrodedescargas.cnig.es/CentroDescargas/";"Centro Nacional de Información Geográfica";"40.446042200000,-3.710461000000";"Administración del Estado";"(***) Formatos no propietarios";"Avanzado";"Medio Ambiente";"";"";"";"";"";"";"Licencia de uso no comercial, Licencia Abierta";"";"";"";"Sí"
"Portal Open Data de CNMC";"http://data.cnmc.es";"Comisión Nacional de los Mercados y la Competencia";"40.419221900000,-3.695977000000";"Administración del Estado";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología";"";"";"";"";"";"";"";"";"";"";"No"
"Portal Datos Abiertos CHJ";"http://www.chj.es/es-es/ciudadano/reutilizacion/Paginas/Reutilizaciondelainformacion.aspx";"Confederación Hidrográfica del Júcar";"39.476425400000,-0.357783199000";"Administración del Estado";"(***) Formatos no propietarios";"";"Medio Ambiente";"http://www.chj.es/es-es/ciudadano/Reutilizacion/Documents/Plan_RISP_CHJ.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Portal Datos Abiertos FOGASA";"https://sede.fogasa.empleo.gob.es/datosabiertos/estadisticas.do";"Fondo de Garantía Salarial";"40.427888400000,-3.697059600000";"Administración del Estado";"(***) Formatos no propietarios";"";"Empleo";"https://sede.fogasa.empleo.gob.es/datosabiertos/mostrarManual.do?nombre=Plan_RISP_FOGASA_2013.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"??";"";"";"No"
"El FEGA en cifras. Datos Abiertos";"http://www.fega.es/PwfGcp/es/accesos_directos/datos_abiertos/";"Fondo Español de Garantía Agraria";"40.425956000000,-3.699603900000";"Administración del Estado";"(**) Datos estructurados";"";"Medio Rural";"http://www.fega.es/PwfGcp/imagenes/es/Plan_RISP_del_FEGA_2012-2013_tcm5-38464.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://www.sede.fega.gob.es/EfeSde/es/procedimientos_y_servicios_electronicos/catalogo_servicios/index.jsp";"";"";"No"
"Portal Datos Abiertos FECYT";"https://www.fecyt.es/es/info/datos-abiertos";"Fundación Española para la Ciencia y la Tecnología";"40.454961300000,-3.694208200000";"Administración del Estado";"(***) Formatos no propietarios";"";"Ciencia y tecnología";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Portal Datos Abiertos FPyC";"http://www.pluralismoyconvivencia.es/datos_abiertos.html";"Fundación Pluralismo y Convivencia";"40.435020700000,-3.704684600000";"Administración del Estado";"(**) Datos estructurados";"";"Educación, Legislación y Justicia, Sector Público, Sociedad y Bienestar";"http://www.pluralismoyconvivencia.es/upload/40/28/Plan_RISP_FPC.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"http://www.pluralismoyconvivencia.es/contacto/";"";"";"No"
"Portal Datos Abiertos IMSERSO";"https://sede.imserso.gob.es/Sede/portal/datosAbiertos.seam";"Instituto de Mayores y Servicios Sociales";"40.476550100000,-3.700363190000";"Administración del Estado";"(***) Formatos no propietarios";"";"Sociedad y Bienestar";"http://www.imserso.es/InterPresent1/groups/imserso/documents/binario/planrisp_imserso.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.imserso.gob.es/Sede/portal/procedimientos/formFormularioGeneral.seam";"";"";"No"
"Portal Datos Abiertos TURESPAÑA";"https://www.tourspain.es/es-ES/Paginas/DatosAbiertos.aspx";"Instituto de Turismo de España";"40.460327300000,-3.692118290000";"Administración del Estado";"(***) Formatos no propietarios";"";"Turismo";"https://www.tourspain.es/es-es/Documents/Plan%20RISP%20Turespa%C3%B1a.pdf";"";"";"";"";"";"Licencia previa solicitud";"";"";"";"No"
"Portal Datos Abiertos INAP";"http://www.inap.es/datos-abiertos";"Instituto Nacional de Administración Pública";"40.410162700000,-3.694643000000";"Administración del Estado";"(**) Datos estructurados";"";"Cultura y Ocio, Educación";"http://www.inap.es/alfresco/alfresco/INAP_PlanReutilizacion.pdf?userIdParam=&companayIdParam=10112&pathInfo=/d/d/workspace/SpacesStore/6bb972bc-7317-4613-9b01-2ea661d096fc/INAP_PlanReutilizacion.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Portal Datos Abiertos INE";"www.ine.es/datosabiertos";"Instituto Nacional de Estadística";"40.463586500000,-3.690123800000";"Administración del Estado";"(***) Formatos no propietarios";"";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"http://www.ine.es/datosabiertos/plan_medidas.pdf";"";"";"";"";"";"Licencia Abierta";"??";"http://www.ine.es/ss/Satellite?L=0&c=Page&cid=1259942408928&p=1259942408928&pagename=ProductosYServicios%2FPYSLayout";"";"Sí"
"Portal Datos Abiertos SESS";"http://www.seg-social.es/wps/portal/wss/internet/InformacionUtil/596/2266";"Secretaría de Estado de la Seguridad Social";"40.442689100000,-3.694627200000";"Administración del Estado";"(***) Formatos no propietarios";"";"Sociedad y Bienestar";"http://datos.gob.es/sites/default/files/doc/file/pr_ssocial.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"Sí"
"Portal Datos Abiertos OEPM";"https://sede.oepm.gob.es/eSede/datos";"Oficina Española de Patentes y Marcas";"40.446980000000,-3.691503000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Ciencia y tecnología";"http://datos.gob.es/sites/default/files/files/PLANRISPOEPM.pdf";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"opendata@oepm.es";"";"";"No"
"Portal Datos Abiertos SEPE";"https://sede.sepe.gob.es/contenidosSede/generico.do?pagina=datos_abiertos/";"Servicio Público de Empleo Estatal";"40.451054100000,-3.694325400000";"Administración del Estado";"(***) Formatos no propietarios";"";"Empleo";"https://sede.sepe.gob.es/es/portaltrabaja/resources/sede/datos_abiertos/datos/PLANRISP_SEPE.doc";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://sede.sepe.gob.es/contenidosSede/generico.do?pagina=datos_abiertos/opinion.html";"";"";"No"
"Portal Datos Abiertos SEPI";"http://www.sepi.es/default.aspx?cmd=0001&IdContainer=256";"Sociedad Estatal de Participaciones Industriales";"40.439094900000,-3.682454900000";"Administración del Estado";"(***) Formatos no propietarios";"";"Economía, Industria";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"http://www.sepi.es/default.aspx?cmd=0001&IdContainer=260&idLanguage=";"";"";"No"
"Consulta Masiva al Catastro";"https://www.sedecatastro.gob.es/OVCFrames.aspx?TIPO=TIT&a=masiv";"Dirección General del Catastro";"40.473769000000,-3.686686900000";"Administración del Estado";"(**) Datos estructurados";"";"Hacienda";"";"";"";"";"";"";"Licencia con sujeción a condiciones específicas";"";"";"";"No"
"Portal Datos Abiertos Junta de Andalucía";"http://www.juntadeandalucia.es/datosabiertos/portal.html";"Junta de Andalucía";"37.398611000000,-6.008888900000";"Administración Autonómica";"(***) Formatos no propietarios";"Sencillo";"Ciencia y tecnología, Cultura y Ocio, Educación, Empleo, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Sociedad y Bienestar, Transporte";"";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"http://juntadeandalucia.uservoice.com/forums/141131-general";"";"http://www.juntadeandalucia.es/datosabiertos/portal/ayuda.html";"No"
"Portal Datos Abiertos UPO";"https://datos.upo.gob.es/";"Universidad Pablo de Olavide";"37.356210800000,-5.949876700000";"Universidades";"(***) Formatos no propietarios";"Avanzado";"Educación, Sector Público";"http://www.upo.es/dgestrategia/export/sites/of_plan_estrategico/documentos/UPO_Plan-Estrategico_2014-2016.pdf";"http://datos.upo.gob.es/wp-content/themes/viavansi-ogov/proxyFile.php?url=https://datos.upo.gob.es/catalogo.rdf";"";"http://apickan.unileon.es/api/3";"";"http://datos.upo.gob.es/sparql/";"Creative Commons Reconocimiento (CC BY)";"https://upo.uservoice.com/forums/225339-opendata-solicitudes/";"https://datos.upo.gob.es/collaborate/?type=app";"https://datos.upo.gob.es/presentacion/";"Sí"
"Portal Datos Abiertos Sevilla";"http://datosabiertos.sevilla.org/";"Ayuntamiento de Sevilla";"37.388394000000,-5.996552990000";"Administración Local";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Medio Ambiente, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Vivienda";"http://www.sevilla.org/ayuntamiento/competencias-areas/alcaldia/ITAS/plan-director";"http://datosabiertos.sevilla.org/wp-content/themes/viavansi-ogov/proxyFile.php?url=http://datosabiertos.sevilla.org/catalogo.rdf";"";"http://datosabiertos.sevilla.org/info-api/";"";"";"Creative Commons Reconocimiento (CC BY)";"http://datosabiertos.sevilla.org/collaborate/";"http://datosabiertos.sevilla.org/applications/";"http://datosabiertos.sevilla.org/que-es/";"No"
"Portal Datos Abiertos Málaga";"http://datosabiertos.malaga.eu/";"Ayuntamiento de Málaga";"36.720194500000,-4.414928700000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Educación, Empleo, Industria, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"http://datosabiertos.malaga.eu/recursos/federacion/fed-malaga.rdf";"";"http://datosabiertos.malaga.eu/api";"";"";"Creative Commons Reconocimiento (CC BY)";"";"";"";"Sí"
"Aragón Open Data";"https://opendata.aragon.es/";"Gobierno de Aragón";"41.648822600000,-0.889085300000";"Administración Autonómica";"(*****) Datos enlazados";"Avanzado";"Ciencia y tecnología, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"";"";"";"https://opendata.aragon.es/herramientas/apis#api-ckan";"";"https://opendata.aragon.es/herramientas/sparql";"Creative Commons Reconocimiento (CC BY)";"https://opendata.aragon.es/informacion/colabora";"https://opendata.aragon.es/informacion/aplicaciones";"https://opendata.aragon.es/herramientas/campus";"Sí"
"Datos Abiertos Ayuntamiento de Zaragoza";"http://www.zaragoza.es/ciudad/risp/";"Ayuntamiento de Zaragoza";"41.655971500000,-0.877460400000";"Administración Local";"(*****) Datos enlazados";"Sencillo";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Hacienda, Legislación y Justicia, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"http://www.zaragoza.es/ciudad/risp/decalogo.htm";"";"";"";"";"http://www.zaragoza.es/datosabiertos/sparql";"Licencia tipo Real Decreto 1495/2011";"http://zaragoza.uservoice.com/forums/64643-datos-que-me-gustar%C3%ADa-reutilizar-y-aplicaciones-qu";"http://www.zaragoza.es/ciudad/risp/buscar_Aplicacion";"https://github.com/zaragoza-sedeelectronica";"Sí"
"Portal Datos Abiertos Gijón";"http://datos.gijon.es/";"Ayuntamiento de Gijón";"43.545011500000,-5.662241300000";"Administración Local";"(*****) Datos enlazados";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"";"http://datos.gijon.es/set.rdf";"";"";"";"http://datos.gijon.es/page/12217-servicio-sparql";"Creative Commons Reconocimiento (CC BY)";"http://gijon.uservoice.com/forums/64793-datos-que-se-deber%C3%ADan-publicar";"http://datos.gijon.es/page/13162-aplicaciones";"";"Sí"
"OpenData GOIB";"http://www.caib.es/sites/opendatacaib/es/";"Gobierno de las Islas Baleares";"39.568959000000,2.643667190000";"Administración Autonómica";"(*****) Datos enlazados";"Sencillo";"Ciencia y tecnología, Cultura y Ocio, Demografía, Economía, Medio Ambiente, Sector Público, Sociedad y Bienestar";"";"https://catalegdades.caib.cat/api/v2/catalog/exports/rdf";"";"";"https://catalegdades.caib.cat/api/v1/console/datasets/1.0/search/";"";"http://www.caib.es/sites/opendatacaib/es/politica_i_termes_dus/";"";"";"";"Sí"
"Portal Open Data Canarias";"http://opendatacanarias.es/";"Cabildo de Tenerife, Fundación General Universidad de La Laguna, Universidad de La Laguna";"28.469810000000,-16.254860000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Economía, Educación, Empleo, Transporte, Turismo";"";"";"";"http://opendatacanarias.es/datos/api";"";"";"Open Data Commons Open Database License (ODbL)";"http://opendatacanarias.es/?q=node/add/idea";"http://opendatacanarias.es/?q=aplicaciones";"http://fg.ull.es/opendatacanarias/";"No"
"ISTAC. Instituto Canario de Estadística";"http://www.gobiernodecanarias.org/istac/";"Instituto Canario de Estadística";"28.120014700000,-15.424957000000";"Administración Autonómica";"(***) Formatos no propietarios";"";"Ciencia y tecnología, Comercio, Demografía, Economía, Empleo, Energía, Industria, Medio Ambiente, Medio Rural, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Licencia previa solicitud, Licencia tipo Real Decreto 1495/2011";"https://www.gobiernodecanarias.org/sugrec/";"";"";"No"
"Datos Abiertos del ICANE";"http://datos.icane.es/";"Instituto Cántabro de Estadística";"43.462624400000,-3.804254500000";"Administración Autonómica";"";"";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"http://www.icane.es/metadata/api";"";"";"http://www.icane.es/semantic-web";"http://www.icane.es/footer/legal-advisory";"";"";"";"No"
"Portal Datos Abiertos de Santander";"http://datos.santander.es/";"Ayuntamiento de Santander";"43.462119700000,-3.809557300000";"Administración Local";"(****) Datos RDF";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Empleo, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"http://datos.santander.es/presentacion/";"";"";"http://datos.santander.es/catalogo/api";"";"http://datos.santander.es/sparql/";"Creative Commons Reconocimiento (CC BY)";"http://datos.santander.es/collaborate?type=news";"http://datos.santander.es/aplicaciones/";"http://datos.santander.es/presentacion/";"No"
"Datos Abiertos CLM";"http://datosabiertos.castillalamancha.es/";"Junta de Castilla La Mancha";"39.856088300000,-4.027885400000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 4.0)";"http://datosabiertos.castillalamancha.es/participa-y-colabora";"";"";"Sí"
"Portal de Datos Abiertos Junta de Castilla y León";"http://www.datosabiertos.jcyl.es/";"Junta de Castilla y León";"41.835682100000,-4.397635700000";"Administración Autonómica";"(****) Datos RDF";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Economía, Educación, Empleo, Energía, Hacienda, Medio Ambiente, Medio Rural, Salud, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"http://www.datosabiertos.jcyl.es/web/jcyl/binarios/474/179/BOCYL-D-09032012-12.pdf?blobheader=application%2Fpdf%3Bcharset%3DUTF-8&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobheadervalue3=Portal_RISP&blobnocache=true";"";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100/1284201406867/_/_/_";"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100/1284162104415/_/_/_";"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100/1284197744824/_/_/_";"Sí"
"Open Data - Datos Abiertos - Ayuntamiento de Valladolid";"http://www.valladolid.es/es/temas/hacemos-1/open-data-datos-abiertos";"Ayuntamiento de Valladolid";"41.652311900000,-4.728637800000";"Administración Local";"(***) Formatos no propietarios";"";"Ciencia y tecnología, Cultura y Ocio, Demografía, Deporte, Economía, Empleo, Medio Ambiente, Sector Público, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"Licencia Abierta";"https://www.valladolid.gob.es/es/reclamaciones-sugerencias";"";"";"No"
"Portal Datos Abiertos - Generalitat de Catalunya";"http://governobert.gencat.cat/ca/dades_obertes/";"Generalitat de Catalunya";"41.382822200000,2.176762800000";"Administración Autonómica";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"https://analisi.transparenciacatalunya.cat/";"";"";"";"";"Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND), Creative Commons Reconocimiento (CC BY), Licencia Abierta";"http://governobert.gencat.cat/ca/dades_obertes/Com-podeu-collaborar-al-portal/";"";"http://governobert.gencat.cat/ca/dades_obertes/que-son-les-dades-obertes/";"No"
"Open Data BCN";"http://opendata.bcn.cat/opendata/es";"Ayuntamiento de Barcelona";"41.382152800000,2.176866600000";"Administración Local";"(****) Datos RDF";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Educación, Empleo, Hacienda, Legislación y Justicia, Medio Ambiente, Sector Público, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"http://opendata.bcn.cat/opendata/es/catalog/SECTOR_PUBLIC/data-catalog/0/RDF";"";"";"";"";"Creative Commons Reconocimiento (CC BY)";"https://w10.bcn.cat/APPS/irsconsultesWeb/continuar.executant.do?i=e&origen=DADES_OBERTES&detall=4675";"";"http://opendata.bcn.cat/opendata/es/what-is-open-data";"No"
"TMB Open Data";"http://www.tmb.cat/es/tmb-open-data";"Transports Metropolitans de Barcelona";"41.375992600000,2.140471100000";"Administración Local";"(***) Formatos no propietarios";"";"Transporte";"";"";"";"";"";"";"Licencia previa solicitud";"";"http://www.tmb.cat/es/les-nostres-aplicacions";"";"No"
"Open Data SBD";"http://opendata.sabadell.cat/";"Ayuntamiento de Sabadell";"41.546757600000,2.107803800000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Deporte, Educación, Empleo, Medio Ambiente, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Licencia previa solicitud, Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND), Creative Commons Reconocimiento (CC BY), Licencia Abierta";"http://opendata.sabadell.cat/ca/col-labora";"";"";"No"
